datetime,open,high,low,close,volume,timestamp
2026-04-05 01:00:00,80.7,80.79,80.49,80.51,32829.588,1775350800
2026-04-05 02:00:00,80.5,80.64,80.37,80.59,42963.308,1775354400
2026-04-05 03:00:00,80.59,80.62,80.41,80.55,14283.619,1775358000
2026-04-05 04:00:00,80.55,80.58,80.29,80.33,44259.412,1775361600
2026-04-05 05:00:00,80.33,80.43,80.14,80.31,49078.887,1775365200
2026-04-05 06:00:00,80.3,80.38,79.41,79.59,153896.649,1775368800
2026-04-05 07:00:00,79.59,79.88,79.51,79.6,70495.297,1775372400
2026-04-05 08:00:00,79.59,79.71,79.54,79.62,52925.655,1775376000
2026-04-05 09:00:00,79.62,79.88,79.62,79.84,26469.593,1775379600
2026-04-05 10:00:00,79.83,80.24,79.78,79.84,47152.197,1775383200
2026-04-05 11:00:00,79.84,79.92,79.75,79.9,31689.336,1775386800
2026-04-05 12:00:00,79.91,79.95,78.8,79.0,102171.653,1775390400
2026-04-05 13:00:00,79.01,79.25,78.52,79.21,101430.707,1775394000
2026-04-05 14:00:00,79.21,79.48,79.13,79.29,39060.526,1775397600
2026-04-05 15:00:00,79.29,80.33,79.0,79.6,146587.812,1775401200
2026-04-05 16:00:00,79.59,79.82,79.39,79.46,54565.511,1775404800
2026-04-05 17:00:00,79.47,79.93,79.37,79.9,45366.939,1775408400
2026-04-05 18:00:00,79.89,80.14,79.71,79.95,60124.344,1775412000
2026-04-05 19:00:00,79.96,80.23,79.54,79.83,45422.467,1775415600
2026-04-05 20:00:00,79.83,80.22,79.81,80.16,42413.324,1775419200
2026-04-05 21:00:00,80.16,80.19,79.51,79.75,59461.943,1775422800
2026-04-05 22:00:00,79.74,80.69,79.1,80.58,153206.215,1775426400
2026-04-05 23:00:00,80.58,82.13,80.46,81.89,284518.153,1775430000
2026-04-06 00:00:00,81.89,82.97,81.89,82.32,321786.17,1775433600
2026-04-06 01:00:00,82.33,82.42,81.68,81.69,124398.736,1775437200
2026-04-06 02:00:00,81.7,82.8,81.66,82.41,126010.624,1775440800
2026-04-06 03:00:00,82.41,82.48,81.94,82.11,111803.749,1775444400
2026-04-06 04:00:00,82.11,82.34,81.79,82.0,57686.355,1775448000
2026-04-06 05:00:00,81.99,82.08,81.84,81.91,44096.808,1775451600
2026-04-06 06:00:00,81.9,82.14,80.97,81.5,143148.261,1775455200
2026-04-06 07:00:00,81.5,81.97,81.35,81.82,98203.568,1775458800
2026-04-06 08:00:00,81.83,82.26,81.71,82.0,84426.12,1775462400
2026-04-06 09:00:00,81.99,83.2,81.88,82.47,234322.449,1775466000
2026-04-06 10:00:00,82.47,82.9,82.47,82.68,121346.888,1775469600
2026-04-06 11:00:00,82.68,82.68,82.31,82.45,57661.294,1775473200
2026-04-06 12:00:00,82.44,82.53,82.21,82.3,73258.953,1775476800
2026-04-06 13:00:00,82.3,82.67,82.18,82.46,95528.561,1775480400
2026-04-06 14:00:00,82.46,82.81,81.73,82.23,156260.225,1775484000
2026-04-06 15:00:00,82.22,82.46,82.0,82.27,102517.598,1775487600
2026-04-06 16:00:00,82.28,82.48,81.58,81.59,102812.704,1775491200
2026-04-06 17:00:00,81.6,81.79,81.19,81.64,107304.443,1775494800
2026-04-06 18:00:00,81.64,82.22,81.55,81.88,73543.381,1775498400
2026-04-06 19:00:00,81.87,81.98,81.56,81.9,64721.552,1775502000
2026-04-06 20:00:00,81.91,82.15,81.81,82.0,51548.968,1775505600
2026-04-06 21:00:00,82.0,82.0,81.38,81.49,59480.883,1775509200
2026-04-06 22:00:00,81.48,81.51,80.16,80.17,113072.878,1775512800
2026-04-06 23:00:00,80.17,80.29,79.6,80.03,205429.396,1775516400
2026-04-07 00:00:00,80.03,80.23,79.6,79.91,149835.743,1775520000
2026-04-07 01:00:00,79.91,80.14,79.38,79.53,106294.911,1775523600
2026-04-07 02:00:00,79.53,79.9,79.47,79.72,55004.435,1775527200
2026-04-07 03:00:00,79.73,79.91,79.7,79.8,49909.679,1775530800
2026-04-07 04:00:00,79.8,80.17,79.67,79.92,53054.294,1775534400
2026-04-07 05:00:00,79.93,79.97,79.46,79.61,82943.275,1775538000
2026-04-07 06:00:00,79.6,79.65,79.31,79.53,67709.244,1775541600
2026-04-07 07:00:00,79.54,79.94,79.45,79.87,100102.499,1775545200
2026-04-07 08:00:00,79.87,80.36,79.82,80.14,109240.9,1775548800
2026-04-07 09:00:00,80.15,80.59,80.15,80.39,89717.173,1775552400
2026-04-07 10:00:00,80.38,80.46,79.22,79.37,157809.51,1775556000
2026-04-07 11:00:00,79.37,79.55,78.95,79.21,140332.818,1775559600
2026-04-07 12:00:00,79.22,79.39,78.69,79.14,184497.579,1775563200
2026-04-07 13:00:00,79.14,79.24,78.83,78.87,101290.58,1775566800
2026-04-07 14:00:00,78.88,79.06,78.4,78.59,126202.778,1775570400
2026-04-07 15:00:00,78.59,78.99,78.38,78.86,119576.027,1775574000
2026-04-07 16:00:00,78.86,79.19,78.65,78.89,81371.024,1775577600
2026-04-07 17:00:00,78.89,81.0,78.83,80.07,304322.388,1775581200
2026-04-07 18:00:00,80.07,80.23,79.51,79.94,118328.064,1775584800
2026-04-07 19:00:00,79.93,81.83,79.89,81.63,347574.855,1775588400
2026-04-07 20:00:00,81.63,82.41,81.63,81.93,257327.643,1775592000
2026-04-07 21:00:00,81.94,83.24,81.87,82.91,234588.311,1775595600
2026-04-07 22:00:00,82.92,85.24,82.91,85.24,560183.244,1775599200
2026-04-07 23:00:00,85.24,87.02,85.1,85.56,715381.546,1775602800
2026-04-08 00:00:00,85.56,85.9,84.26,84.76,247016.521,1775606400
2026-04-08 01:00:00,84.77,84.98,84.45,84.69,113515.967,1775610000
2026-04-08 02:00:00,84.68,84.97,84.4,84.61,104830.334,1775613600
2026-04-08 03:00:00,84.6,84.68,84.37,84.56,115037.839,1775617200
2026-04-08 04:00:00,84.56,85.03,84.49,84.49,134212.641,1775620800
2026-04-08 05:00:00,84.5,84.76,84.16,84.22,91747.558,1775624400
2026-04-08 06:00:00,84.22,84.71,83.89,84.55,111881.628,1775628000
2026-04-08 07:00:00,84.55,84.71,84.21,84.5,113837.134,1775631600
2026-04-08 08:00:00,84.51,84.88,84.43,84.86,85905.278,1775635200
2026-04-08 09:00:00,84.86,84.98,84.53,84.66,60955.449,1775638800
2026-04-08 10:00:00,84.66,84.8,84.49,84.5,70221.602,1775642400
2026-04-08 11:00:00,84.5,84.83,84.11,84.45,176098.964,1775646000
2026-04-08 12:00:00,84.46,84.69,84.09,84.54,132750.31,1775649600
2026-04-08 13:00:00,84.54,84.98,83.92,84.05,261365.715,1775653200
2026-04-08 14:00:00,84.05,84.16,82.51,82.9,311306.469,1775656800
2026-04-08 15:00:00,82.9,83.46,82.8,83.34,168179.445,1775660400
2026-04-08 16:00:00,83.33,83.6,83.05,83.48,71291.389,1775664000
2026-04-08 17:00:00,83.49,84.18,83.3,83.97,91151.921,1775667600
2026-04-08 18:00:00,83.98,84.03,82.82,82.93,114437.642,1775671200
2026-04-08 19:00:00,82.93,83.24,82.77,83.19,64469.381,1775674800
2026-04-08 20:00:00,83.19,83.38,83.02,83.28,49413.962,1775678400
2026-04-08 21:00:00,83.27,83.61,83.18,83.4,43964.375,1775682000
2026-04-08 22:00:00,83.4,83.44,82.6,82.63,72635.81,1775685600
2026-04-08 23:00:00,82.63,83.02,82.24,82.57,146531.214,1775689200
2026-04-09 00:00:00,82.56,82.67,82.08,82.21,132005.336,1775692800
2026-04-09 01:00:00,82.21,82.35,81.7,82.22,183222.124,1775696400
2026-04-09 02:00:00,82.23,82.44,82.06,82.12,64351.478,1775700000
2026-04-09 03:00:00,82.12,82.18,81.87,82.03,87386.518,1775703600
2026-04-09 04:00:00,82.02,82.03,81.82,81.84,61470.349,1775707200
2026-04-09 05:00:00,81.83,82.33,81.74,82.17,73144.19,1775710800
2026-04-09 06:00:00,82.17,82.37,81.85,82.18,52778.678,1775714400
2026-04-09 07:00:00,82.18,82.48,82.18,82.29,48643.217,1775718000
2026-04-09 08:00:00,82.29,82.65,82.16,82.48,45985.479,1775721600
2026-04-09 09:00:00,82.47,82.69,82.11,82.61,64800.188,1775725200
2026-04-09 10:00:00,82.6,82.66,82.37,82.58,45852.282,1775728800
2026-04-09 11:00:00,82.58,82.71,82.03,82.18,71393.516,1775732400
2026-04-09 12:00:00,82.18,82.39,81.94,82.28,72628.786,1775736000
2026-04-09 13:00:00,82.28,82.42,81.57,81.87,82373.589,1775739600
2026-04-09 14:00:00,81.87,82.32,81.4,82.19,92354.179,1775743200
2026-04-09 15:00:00,82.19,83.94,81.91,83.75,278939.123,1775746800
2026-04-09 16:00:00,83.75,84.24,82.92,83.68,193520.175,1775750400
2026-04-09 17:00:00,83.68,84.69,83.66,84.65,217434.93,1775754000
2026-04-09 18:00:00,84.65,84.7,83.45,83.83,179510.685,1775757600
2026-04-09 19:00:00,83.83,84.31,83.41,84.17,153751.565,1775761200
2026-04-09 20:00:00,84.16,84.53,84.09,84.27,80470.024,1775764800
2026-04-09 21:00:00,84.26,84.72,84.13,84.27,122337.751,1775768400
2026-04-09 22:00:00,84.27,85.95,83.95,83.99,268929.047,1775772000
2026-04-09 23:00:00,83.99,84.06,83.15,83.33,102644.42,1775775600
2026-04-10 00:00:00,83.33,83.39,82.89,83.13,106076.789,1775779200
